title;link;
Moradores reclamam que água em SP está acabando mais cedo;"https://g1.globo.com/sp/sao-paulo/noticia/2021/09/25/moradores-de-todas-as-regioes-da-cidade-de-sp-reclamam-que-agua-esta-acabando-mais-cedo-sabesp-admite-que-reduziu-pressao.ghtml";
Gabriel Jesus brilha, e City bate Chelsea;"https://ge.globo.com/futebol/futebol-internacional/futebol-ingles/jogo/25-09-2021/Chelsea-Manchestercity.ghtml";
Bruno Fernandes isola pênalti, e United perde do Aston Villa;"https://ge.globo.com/futebol/futebol-internacional/futebol-ingles/jogo/25-09-2021/Manchesterunited-Astonvilla.ghtml";
Suárez e Griezmann não marcam, e lanterna vence Atlético de Madrid;"https://ge.globo.com/futebol/futebol-internacional/futebol-espanhol/noticia/suarez-e-griezmann-nao-marcam-e-atletico-de-madrid-perde-para-lanterna-alaves.ghtml";
Simone se emociona ao falar da irmã: 'Vim com a missão de cuidar dela';"https://gshow.globo.com/programas/e-de-casa/noticia/simone-se-emociona-ao-falar-da-irma-a-cantora-simaria-vim-nessa-terra-com-a-missao-de-cuidar-dela.ghtml";
Vivi Araujo, Cris Vianna ou Pitanga podem ser a Arara? Compare;"https://gshow.globo.com/realities/the-masked-singer-brasil/bate-papo-the-masked-singer-brasil/noticia/acredita-que-viviane-araujo-cris-vianna-ou-camila-pitanga-podem-ser-a-arara-compare-videos-delas-cantando-na-globo.ghtml";
Luísa lançará bomba: 'Eu estou grávida, Pedro!';"https://gshow.globo.com/novelas/nos-tempos-do-imperador/vem-por-ai/noticia/em-nos-tempos-do-imperador-luisa-lancara-bomba-eu-estou-gravida-pedro.ghtml";
Pilar descobre segredo da condessa;"https://kogut.oglobo.globo.com/noticias-da-tv/novelas/noticia/2021/09/nos-tempos-do-imperador-pilar-descobre-o-grande-segredo-da-condessa-depois-de-salvar-vida-dela.html?utm_source=globo.com&utm_medium=oglobo";
Cesar Maia: 'DEM migrou e fusão com PSL será confusa';"https://oglobo.globo.com/politica/entrevista-dem-migrou-para-direita-fusao-com-psl-sera-confusa-diz-ex-prefeito-do-rio-cesar-maia-25212675?utm_source=globo.com&utm_medium=oglobo";
Federais da bancada DEM-PSL planejam motim;"https://extra.globo.com/noticias/extra-extra/federais-da-futura-bancada-dem-psl-planejam-motim-contra-rumos-da-fusao-25212217.html";
Posts viram pistas, mas uso em tribunais é limitado;"https://oglobo.globo.com/brasil/seguranca-publica/posts-em-redes-sociais-viram-pistas-em-investigacoes-mas-uso-em-tribunais-limitado-25212716?utm_source=globo.com&utm_medium=oglobo";
Juiz negou ação contra Precisa, mas reconsiderou;"https://blogs.oglobo.globo.com/lauro-jardim/post/juiz-negou-operacao-contra-precisa-mas-reconsiderou-decisao-apos-pf-citar-risco-provas-com-exposicao-na-midia.html?utm_source=globo.com&utm_medium=oglobo";
25% aprovam e 35% reprovam atuação do STF;"https://g1.globo.com/politica/noticia/2021/09/25/25percent-aprovam-e-35percent-reprovam-atuacao-dos-ministros-do-stf-diz-datafolha.ghtml";
Governo prevê queda no desmatamento;"https://blogs.oglobo.globo.com/lauro-jardim/post/governo-preve-que-setembro-repetira-agosto-na-queda-do-desmatamento-da-amazonia.html?utm_source=globo.com&utm_medium=oglobo";
Rio busca 227 mil na repescagem com 'escolha' de vacina;"https://oglobo.globo.com/rio/com-fim-da-vacinacao-por-idade-prefeitura-do-rio-agora-busca-227-mil-na-repescagem-oferecendo-escolha-de-vacina-25212634?utm_source=globo.com&utm_medium=oglobo";
SP aplica reforço em imunossuprimidos e idosos;"https://g1.globo.com/sp/sao-paulo/noticia/2021/09/25/cidade-de-sp-aplica-neste-sabado-reforco-da-vacina-contra-covid-em-imunossuprimidos-acima-de-18-anos-e-idosos-a-partir-de-80.ghtml";
PF recupera garrafas de vinho furtadas do MRE;"https://g1.globo.com/politica/noticia/2021/09/25/pf-recupera-duas-garrafas-de-vinho-furtadas-de-adega-do-mre-e-avaliadas-em-quase-r-60-mil.ghtml";
Executiva da Huawei é liberada de prisão domiciliar;"https://g1.globo.com/mundo/noticia/2021/09/25/executiva-da-huawei-e-liberada-de-prisao-domiciliar-e-volta-para-a-china-apos-acordo-com-eua.ghtml";
Terremotos e explosões acordam ilha com vulcão ativo;"https://g1.globo.com/mundo/noticia/2021/09/25/brasileira-que-vive-em-ilha-com-vulcao-em-erupcao-mostra-como-ficou-la-palma-coberta-por-cinzas-veja-video.ghtml";
USP estuda se partículas de queimadas causam câncer;"https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2021/09/25/usp-estuda-se-particulas-no-ar-de-ribeirao-preto-sp-durante-queimadas-podem-causar-cancer-no-figado.ghtml";
São Paulo registra chuva com granizo e surpreende moradores, veja imagens;"https://g1.globo.com/sp/sao-paulo/noticia/2021/09/25/sp-registra-chuva-e-queda-de-granizo-neste-sabado-veja-video.ghtml";
Ator encontrado morto em SP já fez TV, teatro e cantou para pacientes com Covid;"https://g1.globo.com/sp/sao-paulo/noticia/2021/09/25/ator-encontrado-morto-em-sp-ja-fez-tv-teatro-e-cantou-para-pacientes-com-covid-em-hospital-de-campanha-veja-video.ghtml";
Mãe faz 'chá de revelação de DNA’ após homem duvidar da paternidade;"https://g1.globo.com/go/goias/noticia/2021/09/25/mae-faz-cha-de-revelacao-de-dna-apos-homem-duvidar-da-paternidade-de-menino-video.ghtml";
Pai mantém filhos de 4 e 12 anos reféns por mais de seis horas e atira em ex-mulher;"https://g1.globo.com/mt/mato-grosso/noticia/2021/09/25/pai-mantem-filhos-de-4-e-12-anos-refens-por-mais-de-seis-horas-e-atira-no-rosto-de-ex-mulher-em-mt.ghtml";
Professor preso após ser reconhecido por foto prova inocência e é solto: 'Vida destruída';"https://g1.globo.com/sp/santos-regiao/noticia/2021/09/25/professor-preso-apos-ser-reconhecido-por-foto-e-solto-apos-provar-inocencia-vida-destruida.ghtml";
Jovem de 18 anos descobre novo asteroide em pesquisa para Nasa na Grande BH;"https://g1.globo.com/mg/minas-gerais/video/jovem-de-18-anos-descobre-novo-asteroide-no-espaco-durante-pesquisa-para-nasa-na-grande-bh-9891519.ghtml";
Jovens utilizam vídeos do Tik Tok como currículo, e empresas já divulgam processos seletivos pela rede;"https://cbn.globoradio.globo.com/media/audio/354006/jovens-utilizam-videos-do-tik-tok-como-curriculo.htm";
Jovem que mobilizou mais de 170 a doarem sangue morre em SP: 'Lutou bravamente';"https://g1.globo.com/sp/santos-regiao/noticia/2021/09/25/jovem-que-mobilizou-mais-de-170-a-doarem-sangue-morre-em-sp-lutou-bravamente.ghtml";
Mãe de integrantes da banda de rock Kings of Leon morre e homenagens emocionam redes;"https://revistamonet.globo.com/Musica/noticia/2021/09/mae-de-integrantes-da-banda-de-rock-kings-leon-morre-e-homenagens-emocionam-redes.html";
