title;link;
'Memória de Marielle é política', diz Monica Benício após Câmara do Rio vetar projeto;"https://www.uol.com.br/universa/noticias/redacao/2021/09/25/rj-vereadores-usam-hq-com-beijo-gay-para-vetar-dia-da-visibilidade-lesbica.htm";
Por que é importante achar o barco do casal que morreu no mar de Angra dos Reis (RJ)?;"https://www.uol.com.br/nossa/colunas/historias-do-mar/2021/09/25/por-que-e-tao-importante-achar-o-barco-do-casal-que-morreu-no-mar-de-angra.htm";
Mania nacional, ar-condicionado pede carinho para gelar bem o carro, veja cuidados;"https://www.uol.com.br/carros/noticias/redacao/2021/09/25/ar-condicionado-no-carro-cuide-bem-dele-para-nao-passar-calor-no-verao.htm";
Procurando emprego? Fast Shop, Cola-Cola e 80 empresas estão contratando;"https://economia.uol.com.br/empregos-e-carreiras/noticias/redacao/2021/09/25/selecao-de-vagas.htm";
Como ajudar pessoas a comer e sobreviver na pandemia de covid;"https://www.uol.com.br/ecoa/ultimas-noticias/2021/03/23/fome-no-brasil-como-ajudar-pessoas-a-comer-e-sobreviver-na-pandemia.htm";
Por uma literatura total, uma arte total que confronte o ódio à cultura;"https://www.uol.com.br/ecoa/colunas/julian-fuks/2021/09/25/por-uma-literatura-total-uma-arte-total-que-confronte-o-odio-a-cultura.htm";
Inflação da comida no Brasil é vice-campeã na América Latina;"https://www1.folha.uol.com.br/colunas/viniciustorres/2021/09/inflacao-da-comida-no-brasil-e-vice-campea-na-america-latina-dolar-e-aberracao-mundial.shtml";
Personagem da semana: Queiroga, o médico e o monstro;"https://noticias.uol.com.br/colunas/chico-alves/2021/09/25/personagem-da-semana-queiroga-o-medico-e-o-monstro-do-bolsonarismo.htm";
Livro-insulto, livro-crime;"https://www1.folha.uol.com.br/colunas/marilene-felinto/2021/09/livro-insulto-livro-crime.shtml";
Em NY, Deus apareceu para Michelle Bolsonaro como vacina;"https://noticias.uol.com.br/colunas/josias-de-souza/2021/09/25/em-nova-york-deus-apareceu-para-michelle-bolsonaro-em-forma-de-vacina.htm";
Sons de São Paulo: a chuva com granizo;"https://musicaemletras.blogfolha.uol.com.br/2021/09/25/sons-de-s-paulo-a-chuva-com-granizo/";
ONU recomenda ações de combate à desigualdade espacial;"https://www1.folha.uol.com.br/colunas/claudiobernardes/2021/09/onu-recomenda-acoes-para-combater-a-desigualdade-espacial.shtml";
Refletindo sobre 100 dias da vida;"https://www.uol.com.br/ecoa/colunas/mari-rodrigues/2021/09/25/refletindo-sobre-100-dias-da-vida.htm";
Gasoduto com a Rússia é legado mais polêmico de Merkel;"https://www1.folha.uol.com.br/mundo/2021/09/gasoduto-com-a-russia-de-putin-mostra-face-polemica-de-angela-merkel.shtml";
O trabalho te define? O que acontece quando você se aposenta?;"https://www.uol.com.br/universa/colunas/brenda-fucuta/2021/09/25/o-trabalho-te-define-o-que-acontece-entao-quando-voce-se-aposenta.htm";
Bolsonaro e camisas amarelas promovem ética de Mengele;"https://www1.folha.uol.com.br/colunas/marceloleite/2021/09/bolsonaro-e-camisas-amarelas-promovem-etica-de-mengele-na-pandemia.shtml";
Vozes feitas com IA vão melhorar nossa vida, qual o limite ético disso?;"https://economia.uol.com.br/colunas/jose-paulo-kupfer/2021/09/24/manter-auxilio-a-desamparados-e-necessidade-social-e-impulsiona-a-economia.htm";
Mingau, gato da Magali, participa de campanha sobre saúde felina;"https://gatices.blogfolha.uol.com.br/2021/09/25/mingau-gato-da-magali-participa-de-campanha-sobre-saude-felina/";
Filme mergulha na origem do extremismo de direita mais atual;"https://tab.uol.com.br/colunas/matheus-pichonelli/2021/09/25/filme-chileno-retrata-a-genese-do-extremismo-de-direita-mais-atual.htm";
Merkel sairá com um enigma que suscita respeito e admiração;"https://www1.folha.uol.com.br/mundo/2021/09/merkel-saira-da-politica-como-entrou-um-enigma-que-suscita-respeito-e-admiracao.shtml";
Pedalando pelo mundo afora sem sair de casa;"https://www.uol.com.br/ecoa/colunas/milo-araujo/2021/09/24/pedalando-pelo-mundo-afora-sem-sair-de-casa.htm";
Críticos de Merkel agem como se ela pudesse mudar a China;"https://www1.folha.uol.com.br/mundo/2021/09/criticos-condenaram-merkel-como-se-ela-detivesse-o-poder-de-transformar-a-china.shtml";
Quem se preocupa com o desastre ecológico na Venezuela?;"https://www1.folha.uol.com.br/colunas/latinoamerica21/2021/09/quem-se-preocupa-com-o-desastre-ecologico-na-venezuela.shtml";
